"subj_code","desktop_conf","attent_conf","scale_orient","DV_rating","Scenario","explanation2","narrow_check","broad_check","age","gender","tech_issues","narrow_correct","broad_correct"
"4gpG7iyv1SXb","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","hunter",2,1,28,"2: female",NA,"correct","correct"
"6wgTsrI77Fkr","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","I would have written that he was mostly likely a hunter as his net wasn't obviously visible. ",2,1,33,"2: female","None thank you","correct","correct"
"6Yi3PWffRJsH","1: I confirm","1: I will take it seriously","narrow_left",1,"spearNet_notKnow","fisherman",2,1,48,"1: male","none","correct","correct"
"ayJs3uURmZlP","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","50% chance of either ,but that wasnt an option. i choose hunter because that is an naural default position for me",2,1,60,"2: female","i found no errors","correct","correct"
"Ci8caKGxNFig","1: I confirm","1: I will take it seriously","narrow_left",1,"spearNet_notKnow","I believe the tribesman was more likely to be a fisherman as we are sure that the fisherman carries a spear. Their is no mention in regards to the hunter owning a spear.",2,1,24,"1: male",NA,"correct","correct"
"DiSSyr1zpYbh","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","It is difficult to know but if you cannot see that he has a net then I would be inclined to err on the side that the tribesman does not have a net ",2,1,39,"1: male","In the page when I was asked to provide a written answer the word ""selection"" was spelled incorrectly","correct","correct"
"dn6dVG61q50k","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","I still would of written hunter because a fisherman for certain would of had a net.",2,1,30,"2: female","n/a","correct","correct"
"GDJudGkvhZYu","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","A hunter, on the basis that I did not see a net. Which might mean that the net has been laid down or is out of sight, but also might mean that he has no net. It is the only basis upon which I could see to make a judgement. ",2,1,37,"1: male",NA,"correct","correct"
"ILcR9pwbsVPq","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","Both possibilities seem equally likely, as the information (they have a spear) matches both the spearfishers and the hunters. I selected it is more likely a hunter though, as you are unsure whether they have a net, meaning it is slightly likely that there isn't one, as it is not visible.",2,1,25,"1: male","N/A","correct","correct"
"it2K68E6JTsk","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","hunter",2,1,25,"1: male",NA,"correct","correct"
"nfMvw8MzF2Yu","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","Hunter",2,1,44,"2: female","No errors","correct","correct"
"Sxn6VgDxOyXt","1: I confirm","1: I will take it seriously","narrow_left",1,"spearNet_notKnow","I think i'd hazard a guess at him being a fisherman. There is 50% chance he is a hunter. However all fishermen have spears to, for some reason in my head that gives him ma 75% chance of being a fisherman?",2,1,30,"1: male",NA,"correct","correct"
"TcWfje7vqcHV","1: I confirm","1: I will take it seriously","narrow_left",1,"spearNet_notKnow","I would have said that the man was more likely to be a fisherman.",2,1,58,"2: female",NA,"correct","correct"
"tDL2cOaOuhWp","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","I think I'd have gone in the middle 50/50 chance",2,1,64,"1: male","No issues","correct","correct"
"TQMceLbLalxU","1: I confirm","1: I will take it seriously","narrow_left",0,"spearNet_notKnow","That there wasn't enough information to make an accurate decision and I went with a 50/50 chance.",2,1,35,"2: female","n/a","correct","correct"
