subj_code;explanation2;different explanation ;no explanation or unclear;misunderstood scenario;indifferent if possible;inferred absence of latent feature due to good visibility;inferred absence due to presentation of information;inferred absence of latent feature;rating_rec;Features;Knowledge
0HvKDrb2HPko;hunter;;1;;;;;;narrow;spearNet;noInfo
37IF0O4JVg7p;More likely to be a hunter, as he only had a spear, not a spear and a net;;;;;;1;1;narrow;spearNet;noInfo
7fOdSchclYhs;A hunter, because the tribe member was not carrying a net.;;;;;;1;1;narrow;spearNet;noInfo
7vwxrZoQUp6T;probably still a hunter but not 100% sure as the fisherman might have forgotten his net;;;;;;1;1;narrow;spearNet;noInfo
CDiGy35UceMN;There was no mention of a net, so I have made the assumption that there was only a spear, this is an assumption though, but if the tribesman was only carrying a spear then he would have been a huntsman;;;;;;1;1;narrow;spearNet;noInfo
J27PCmuPOfwZ;A hunter because it is the sole weapon I would expect them to carry whereas a fisherman could have a number of different tools;;;;;;;;narrow;spearNet;noInfo
KLkzmb0Fwgn5;Hunter;;;;;;;;narrow;spearNet;noInfo
kZFKEACqCUgC;I would probably go with the hunter if I saw no sign of a net or anything else that would denote he was a fisherman;;;;;;;;narrow;spearNet;noInfo
NUpM8sDK99qb;The odds were 50\50 but because there was no mention of the tribesman carrying a net, I thought that maybe it was more probable that they were a huntsman.;;;;1;;;;narrow;spearNet;noInfo
nVhS6gqatB3Y;The hunter is more likely to carry a spear thats my thoughts;;;;;;;;narrow;spearNet;noInfo
P9CPHtj4QvAY;its not possible to state which since theres a 50% of him being a hunter and a 50% chance of him being a fisherman;;;;1;;;;narrow;spearNet;noInfo
shVti6stfWkp;Probably a fisherman, but it's a moot point;;;;;;;;broad;spearNet;noInfo
T7tbucDjvulJ;I would say a hunter as a net was not mentioned;;;;;;;;narrow;spearNet;noInfo
V5vVlfvAP3gc;I would have written that he is just as likely to be a tribesman as a fisherman, because they both carry a spear.;;;;1;;;;narrow;spearNet;noInfo
VaLM0TQjuRqo;Hunter;;;;;;;;narrow;spearNet;noInfo
VIh7OfnKZt17;fisherman;;;;;;;;broad;spearNet;noInfo
wms2XTTQRhPt;The tribesman could be either as both have spears but the absence of a net would make it more likely a hunter;;;;1;;;;narrow;spearNet;noInfo
WRXjdZwRKIi9;Neither - it's literally 50/50;;;;1;;;;broad;spearNet;noInfo
wymSh0xUKmpu;hunter;;;;;;;;narrow;spearNet;noInfo
xsGbHrcNTZ6z;Hunter;;;;;;;;narrow;spearNet;noInfo
1T0jBCgtyv4x;hunter,as no mention of net;;;;;;;;narrow;spearNet;noInfo
4ttQHs7xEjkX;"A hunter; with limited information if they were carrying a net, I would default to hunter";;;;;;;;narrow;spearNet;noInfo
8Q0bMFJivw13;The tribesman would be more likely to be a hunter as he didn't have a net.;;;;;;1;1;narrow;spearNet;noInfo
920BpN4eUSFw;I would have had to assume that in the scenario that the tribesman ONLY carried a spear, and therefore was more likely to be a hunter (as the fisherman would have also had a net);;;;;;1;1;narrow;spearNet;noInfo
AXN5AEJcf2LV;could of been either one as they both carry spears;;;;1;;;;broad;spearNet;noInfo
b1sVpCE209Be;Hunter.;;;;;;;;narrow;spearNet;noInfo
bKaOHR12djGi;We know the tribesman carries a spear, but it is unspecified as to whether they have a net or not. Given this would be the difference between a hunter and a fisherman, I have assumed that they do *not* have a net, thus are a hunter.;;;;;;1;1;narrow;spearNet;noInfo
ChM61lw6yr8G;a hunter;;;;;;;;narrow;spearNet;noInfo
FabRrj75P4eB;I think that the fisherman would be more likely to have a spear at all times because they are specifically called spear fishermen.;;;;;;;;broad;spearNet;noInfo
