subj_code;explanation;different explanation ;no explanation or unclear;misunderstood scenario;indifferent if possible;inferred absence of latent feature due to good visibility;inferred absence due to presentation of information;inferred absence of latent feature;rating_rec;Features;Knowledge
4gpG7iyv1SXb;hunter;;1;;;;;;narrow;spearNet;notKnow
6wgTsrI77Fkr;I would have written that he was mostly likely a hunter as his net wasn't obviously visible.;;;;;1;;1;narrow;spearNet;notKnow
6Yi3PWffRJsH;fisherman;;1;;;;;;broad;spearNet;notKnow
ayJs3uURmZlP;50% chance of either ,but that wasnt an option. i choose hunter because that is an naural default position for me;;;;1;;;;narrow;spearNet;notKnow
Ci8caKGxNFig;I believe the tribesman was more likely to be a fisherman as we are sure that the fisherman carries a spear. Their is no mention in regards to the hunter owning a spear.;;1;;;;;;broad;spearNet;notKnow
DiSSyr1zpYbh;It is difficult to know but if you cannot see that he has a net then I would be inclined to err on the side that the tribesman does not have a net;;;;;1;;1;narrow;spearNet;notKnow
dn6dVG61q50k;I still would of written hunter because a fisherman for certain would of had a net.;;;;;;1;1;narrow;spearNet;notKnow
GDJudGkvhZYu;A hunter, on the basis that I did not see a net. Which might mean that the net has been laid down or is out of sight, but also might mean that he has no net. It is the only basis upon which I could see to make a judgement.;;;;;1;;1;narrow;spearNet;notKnow
ILcR9pwbsVPq;Both possibilities seem equally likely, as the information (they have a spear) matches both the spearfishers and the hunters. I selected it is more likely a hunter though, as you are unsure whether they have a net, meaning it is slightly likely that there isn't one, as it is not visible.;;;;1;1;;1;narrow;spearNet;notKnow
it2K68E6JTsk;hunter;;1;;;;;;narrow;spearNet;notKnow
nfMvw8MzF2Yu;Hunter;;1;;;;;;narrow;spearNet;notKnow
Sxn6VgDxOyXt;I think i'd hazard a guess at him being a fisherman. There is 50% chance he is a hunter. However all fishermen have spears to, for some reason in my head that gives him ma 75% chance of being a fisherman?;;;;1;;;;broad;spearNet;notKnow
TcWfje7vqcHV;I would have said that the man was more likely to be a fisherman.;;;;;;;;broad;spearNet;notKnow
tDL2cOaOuhWp;I think I'd have gone in the middle 50/50 chance;;;;1;;;;narrow;spearNet;notKnow
TQMceLbLalxU;That there wasn't enough information to make an accurate decision and I went with a 50/50 chance.;;;;1;;;;narrow;spearNet;notKnow
uHFYKVc4A5kw;I would have said I was only 50% sure;;;;1;;;;narrow;spearNet;notKnow
V8vyK9y8ExNl;It would be impossible to tell if the tribesman was a hunter of fisherman.;;;;1;;;;broad;spearNet;notKnow
W069WBcYs0Ww;i would have chosen hunter because a spear fisherman would likely be near water which it didnt mention;;;;;;1;1;narrow;spearNet;notKnow
WFopOUJNhSNT;hunter;;1;;;;;;narrow;spearNet;notKnow
wL8v1MkdIqx9;More likely a hunter.;;1;;;;;;narrow;spearNet;notKnow
1yo2igTxBoXD;I would say he is a Hunter due to not having a net so based on averages I am saying a hunter;;;;;;1;1;narrow;spearNet;notKnow
2F4BGTfpqp7k;More likely a hunter because there is no indication he has a net;;;;;;1;1;narrow;spearNet;notKnow
4mgYwKt9X8BW;More likely a hunter;;1;;;;;;narrow;spearNet;notKnow
4RZON8waX76v;I would assume he was a hunter. I can see the spear but I cannot see a net, so hunter would be the obvious assumption (to me).;;;;;1;;1;narrow;spearNet;notKnow
7mlmP68571eV;I would have wrote it was more likely to be a hunter as it was not obvious that they had a net.;;1;;;1;;;narrow;spearNet;notKnow
9b4P9llu39wX;"I would have said ""don't know"". If forced to choose I would have said the tribesman was more likely a hunter on the basis that I couldn't actually see a net but could see a spear.";;;;1;1;;1;narrow;spearNet;notKnow
AUe06K7n5jhs;A hunter as I would of thought if fisherman I would have been able to see the net;;;;;1;;1;narrow;spearNet;notKnow
D2dOrMeSkHda;Every Tokolo tribe member carries a spear, whether or not they are a hunter or a fisherman. As 50% are hunters & 50% are fisherman there is only a 50/50 chance of the tribesman being a hunter.;;;;1;;;;narrow;spearNet;notKnow
D6ZP6zW7Moji;fisherman;;1;;;;;;broad;spearNet;notKnow
dKIObRECouRR;Without any further information it is hard to reason either way. It's a 50/50 shot so I could easily pick both.;;;;1;;;;narrow;spearNet;notKnow
eusvvEIRjr1v;Because I have come across him he must be in front of me and if I can't see an obvious net I am going to assume he doesn't have one and therefore is a hunter;;;;;1;;1;narrow;spearNet;notKnow
g7gUnl2QMVaq;I'm not sure. it was a guess;;1;;;;;;broad;spearNet;notKnow
