subj_code;desktop_conf;attent_conf;scale_orient;DV_rating;Features ;Knowledge;explanation
0HRR8HlfaNpE;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;While the hunter has a coloured headress it doesn't describe whether he has a golden tooth or if that is absent. So the chances are 50/50 without that information.
2bammSs4UfNo;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Both hunters and spear fishermen wear feathered head dress. So could be either.
2bHpxVeBGS7w;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;As there is no mention of their teeth i cannot lean towards either answer. 
2eCCbFABd3KC;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;The person could be either because both fishermen and hunters wear colourful feather headdresses
2FAaiMgzUSSJ;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;All it says it that they have a colorful headress, there is nothing about a tooth mentioned, so they could equally be either one.
5OrTmugbD3o5;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Both hunters and fisherman have the headdresses and they both form an equal split of half the tribe so it is equally likely that this tribesman is either of these groups.
9U0BSlFP7oe4;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;it said both of them wore the feathers that implies that everyone wore them.
AKwRwyEF2cpa;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;In the scenario we are not told anything about the subjects teeth, which is the main factor used in differentiating the two 
aT8JnIm0LhY9;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;As the only description I was given was that the tribe person was wearing a colourful headdress it could easily be either a huntsman or spear fisherman as no mention of a gold tooth was made.
Bo3f6Vxp0L2U;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Because I haven't been told if there is a gold molar or not, so they would appear the same at first glance. 
Es7toau07XSW;1: I confirm;1: I will take it seriously;narrow_left;4;featherTooth;noInfo;It was 50/50 because they both wear the colourful headwear but I knocked it down a bit towards hunter because I thought maybe the golden molar would have been mentioned if it was a fisherman.
ft2l0MEWz2va;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Both hunters and spear fisherman wear colourful feathered headdresses.
Ip6q4F3yuxrQ;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;All member of the tribe wear a colourful headdress. Half of them are hunters. Thus, the probability required is 50%
jssVCO4gHsN7;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Both hunters and spear headman wear the same headband. 
qWl0vHOP3DV5;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;As both categories wear colourful feathers, the person is equally likely to be a hunter or a fisherman.
sfSAj7WrV2Kc;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Both wear those headdresses. We cannot assume one has a golden molar tooth or not based on first seconds of interaction.
sHe16naBZEuU;1: I confirm;1: I will take it seriously;narrow_left;3;featherTooth;noInfo;i cant be absolutely sure that he has the golden tooth only that he has a headdress - hence i think slightly more likely to be a hunter
tprEFHthQpv6;1: I confirm;1: I will take it seriously;narrow_left;3;featherTooth;noInfo;Did not say whether or not they had a gold tooth. 
UDnGJLZ8j8XX;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;both wear headdresses so it could be either groups. i will need to know more information ie whether there is a golden molar tooth or not, to categorise the grouping further.
Ukq8MAqoKP2G;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Both categories of tribesmen wear colourful feathered headresses so there is a 50/50 chance it could be either a hunter or fisherman.
vBNNnslVlWtj;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;The description simply states we come across a tribe member with a headdress. I have not peered into his mouth to his tooth colour, so he could be either a fisherman or a hunter
VIqdhQU4a0yN;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;They both wear this item so there is no way to tell.
YjbXufZIbzdN;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;going by the information provided we cannot tell which group they belong to because both groups wear headresses. we can only tell the difference by the one gold tooth.
Z95vXzVwsXEm;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;Based on the information provided there was an equal chance of it being the either group
ZJrkEINuLAtu;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;noInfo;The hunters and fishermen are both Tokolo tribesmen and both wear colorful feathered headdresses. The additional identifying detail for the fishermen, the golden molar tooth, is not mentioned, but cannot be ruled out either.
0QCEuSMZsmMS;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;AS EVERYONE WEARS THE HEADDRESS UNLESS THEY OPEN THIER MOUTH YOU WOULD NOT BE 100% SURE THAT THEY WERE A SPEAR FISHERMAN 
1fKpf7RQyVA6;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;" 
 it wasnt clear wether he had a gold tooth or not so he could be either."
3rVDIi20dxJv;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;Given that we know the tribe ALL wear headdresses, it can only be a 50/50 guess at whether the person is a hunter or spear fisherman, given the known information. However, a change in info (we now learn the person has a golden molar) would then change that probability.
72owZ2W91g8u;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;Because both tribal members wear more or less the same headwear they are indistinguishable unless one of them showed their teeth.
bX4nZXg8L0ea;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;Because both sides of the tribe wear the headdress, so there is equal chance he could be in either side of the tribe
cWjEKI8pnIBG;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;Both Hunters and spearmen wear the colorful headdress therefore unless you can see if they have a golden tooth there would be as much chance they are one of either so there is a 50/50 chance
dsPZnwCEfDdf;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;The sentence gave no indication if he had a golden molar, so the only evidence could apply to either group. 
E1gLtDKI0ARZ;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;Since the information said that the tribe was half hunters and half fisherman and that both wore head dresses with the only difference being a golden tooth for the fishermen, it is equally likely that the person we ran into could be either. We don't know if we can't see their teeth.
elxGFeSVJaLr;1: I confirm;1: I will take it seriously;narrow_right;10;featherTooth;noInfo;No addition was added to the head dress so I assumed that the person didn't belong to the spear fisherman
goBOGJEHgJZU;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;The text detailed that either tribe wear feathered headdresses so it could have equally been a member of either without further information on the molar of the person 
GTTsVF5QrYTZ;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;They both have head dresses but I wasn't told about their gold tooth so I couldn't be sure.
i1dG3g8kZqbr;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;both fisherman and hunter wore colorful headdress that why the person could belong to either tribe
ltMwHUSjaSP9;1: I confirm;1: I will take it seriously;narrow_right;5;featherTooth;noInfo;Both hunters and fishermen wear feathered headdresses so it 50-50% chance 
