subj_code;desktop_conf;attent_conf;scale_orient;DV_rating;Features ;Knowledge;explanation;Correct explanation ;Unclear explanation ;Inferred absence of latent feature due to visibility;Inferred absence of latent feature for any reason
0rsEtEJrjzbA;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;There is a 50/50 chance he is a fisherman or hunter as both wear the colourful head dress but only a fisherman has a golden tooth. It has the same odds as a coin toss. ;1;0;0;0
2MmqjXJmc4gB;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;It would be difficult to tell whether the tribesman had a golden tooth as would be unable to see a molar at the back of the mouth unless the tribesman opened his mouth wide. He wore a colourful headdress so he could equally be of either tribe unless you could clearly see a golden molar in which case he would most likely be a spear fisherman.;1;0;0;0
3eHFyqZCLyxD;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;If hes wearing a colourful head dress then he is a member of the tribe and could be either a hunter or a spear fisherman , in the absence of any other information regarding having a gold tooth or the relative populations of the hunters or fishermen the safest guess would be 50% either way in my opinion.;1;0;0;0
3ifF4baNyDne;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Without the further information it is impossible to tell which way they could go.;1;0;0;0
4MbNWJiYpyMu;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;because there was not enough info to discriminate;1;0;0;0
55BoA8mBujDh;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Half the individuals belong to each population, and there was no information on whether the one identified had the feature of the fisherman or hunter grouping so therefore there was a 50% chance they belonged to each.;1;0;0;0
7Z7mpIa4xykE;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Unless we can confirm they have a golden tooth or confirm the tool they use it is impossible to know for certain.;1;0;0;0
abDfePFk5ZrY;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;You haven't seen the distinguising feature (the tooth) so you cannot judge. The description could be either kind of tribesmember;1;0;0;0
aEl6tIHk0YdO;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Both hunters and fishermen have headdresses, but only the fishermen have the golden molar tooth. For that reason, it could be either of the two. Just because we haven't seen or know if they have the tooth, it doesn't mean they don't or do have one;1;0;0;0
aSMUaOVYKVLz;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Why I made that decision is because they didn't state clearly that he has a golden tooth. there is a probability that he has a golden tooth or not so he can come from any of the 2 tribe.;1;0;0;0
egnJR1Wlx1ky;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Both groups wear colourful headwear but as I was not certain if he had the golden tooth I could not be sure which group he belonged to;1;0;0;0
fe6suAnUQbhk;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;It's a 50-50 probability because we can't see his molar but we can see his attire and we have already been given that the tribes are divided into 2 halves. ;1;0;0;0
gyVZXXknzJSo;1: I confirm;1: I will take it seriously;narrow_left;5;featherTooth;notKnow;Without knowing if the tribesman has a golden molar tooth the person could either be a hunter or a spearsman so therefore my answer was 50-50;1;0;0;0
