"subj_code","condition","desktop_conf","attent_conf","scale_orient","DV_rating","Story","LatentF","explanation","narrow_check","broad_check","age","gender","tech_issues","narrow_correct","broad_correct"
"4ivTnN6SWPhs",1,"1: I confirm","1: I will take it seriously","narrow_left",2,"daisy","visible","Because there was no think green leaves it probably belongs to Daisy A.  Unless the leaves were damaged or pulled off before looking at it.",2,1,56,"1: male",NA,"correct","correct"
"5dTtvw4WaF3j",1,"1: I confirm","1: I will take it seriously","narrow_left",6,"daisy","visible","If you're unsure if there are green leaves its more likely they belong to the group without the green leaves.",2,1,24,"1: male",NA,"correct","correct"
"DOyCsrqryWFm",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","I was told that the variations of the plant occur equally often. The only distinguishing factor is the prevalence of thick green leaves, which in this scenario I could not assess. Therefore based on the available evidence, I believe it is equally likely a to whether this particular plant belongs to the A or B variety.",2,1,39,"1: male",NA,"correct","correct"
"egcUiPZ11yb4",1,"1: I confirm","1: I will take it seriously","narrow_left",3,"daisy","visible","If one is not sure whether there are green leaves, then they can't have been seen. If they weren't seen, then it is more likely (but not impossible) that they're not present.",2,1,40,"1: male",NA,"correct","correct"
"EiekjjsOlvDQ",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","I just thought there was a 50-50 chance",2,1,50,"1: male",NA,"correct","correct"
"hhi4epePAKlP",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","without looking at the leaves, it seems that both varieties of daisy are equally likely to occur and the bloom looks the same so its a 50/50 chance.",2,1,42,"1: male","everything was OK, thank you.","correct","correct"
"izgty0cVvu3I",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","Both types of flower occur equally often, and I don't know about the status of the distinguishing feature, so I have no information either way.",2,1,37,"1: male","Note that prolific's criteria for a valid attention check include ""They cannot rely on memory recall"". You can discard participants from your analysis based on it if you wish, but you can't reject submissions based on a memory question.","correct","correct"
"M4E7gyoeO03e",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","Since both look the same, and I do not know exactly if it has thick green leaves or not, it only makes sense that its a 50/50, since they have the same occurrence rate.",2,1,29,"1: male",NA,"correct","correct"
"mXkph3f9a8qn",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","I had two options. I did not have enough information to comfortably make a choice between the two, so at that moment the likelihood of it being either option was equal.",2,1,38,"1: male","none","correct","correct"
"nF8o8XmaaO4j",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","If the flowers occur equally and you don't know if it has the leaves or not, then there is a 50% chance of it being type A and a 50% chance of it being type B",2,1,28,"2: female","N/A","correct","correct"
"q5lN06Ya01gm",1,"1: I confirm","1: I will take it seriously","narrow_left",1,"daisy","visible","If the flower was plant B, surely I would have noticed the green leaves. If there are no green leaves then that means the flower is plant A. Also the green leaves were noted as thick. Thick green leaves would be obvious and noticeable. ",2,1,22,"2: female",NA,"correct","correct"
"sbXfQckIWEbK",1,"1: I confirm","1: I will take it seriously","narrow_left",1,"daisy","visible","i think it is more likely to be type a as if it were type b and had thick green leaves, it would have been noticeable upon approach. the uncertainty leads me to believe it is more likely to be absent as the leaves should be distinctive enough to alleviate doubt",2,1,23,"2: female",NA,"correct","correct"
"sQYJOz8reP20",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","Both are equally likely to grow so both are equally likely to be the one you are looking at",2,1,67,"1: male","None","correct","correct"
"tcMorrHODdl5",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible"," Both types of desert daisies have pearly white blossoms so the specimen I found could belong to either type A or type B.
The differential is the leave and I don't know if the plant has leaves or not, so it could go either way.",2,1,52,"2: female",NA,"correct","correct"
"TuTKVqkA0VH3",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","As the flowers occur equally often and you don't know if it has thick green leaves or not that means there is a 50:50 chance",2,1,49,"2: female","No problems","correct","correct"
"u5P3uMSHUKnA",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","I'm presuming both daisies have green leaves, but the type b has thicker ones. If there is no type a to compare with, then it's either a or b.",2,1,69,"2: female","I must have missed the word 'only' in the description of the daisies, at the beginning. I didn't realise that type a only had the white blossom.","correct","correct"
"WcbsV8hSX29u",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","having little information about the growth of the leaves, the leaves may grow at a different rate, therefore as they were unsure about the leaves it could equally be either of the leaves",2,1,21,"2: female",NA,"correct","correct"
"wPBgRsh4TWB1",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","It didn't say if the flower had leaves, which means it could have been either Type A or B. Based on the information provided, I felt like either option was equally likely. ",2,1,28,"2: female",NA,"correct","correct"
"Xrd5ExOfmHKC",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","you don't know if it has leaves means you probably can't see it properly. otherwise you would be sure it did or didn't",2,1,31,"2: female",NA,"correct","correct"
"Y5ZHanjEL5F4",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","visible","Two choices, equal observable properties -50:50 likelihood",2,1,34,"1: male",NA,"correct","correct"
"YOXJpxAB7T1l",1,"1: I confirm","1: I will take it seriously","narrow_left",2,"daisy","visible","The description to me told me that type A had a white blossom",2,1,30,"1: male",NA,"correct","correct"
"3oFFnmVIfc49",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","Since both types of desert daisies have the same petals and I wasn't able to see the leaves (and both varieties occur equally), I would assume that the flower was as likely to be Type A as it was to be Type B.",2,1,33,"2: female","Everything looks good!","correct","correct"
"3YbDXLfnkf8c",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","they both occur equally so it could be either",2,1,59,"1: male",NA,"correct","correct"
"aLAOMfRad0YL",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","It is impossible to distinguish as both are pearly white and therefore I can't tell which is which without more information. ",2,1,29,"1: male",NA,"correct","correct"
"B7EZ8yceektI",2,"1: I confirm","1: I will take it seriously","narrow_right",6,"daisy","visible","It depends on why you're not sure if it has thick green leaves.  If it's because that part of the plant is obscured then I would give it a 50/50, but then I thought that if it was because it had some leaves and you were unsure if they would be categorised as ""thick/green"" then it would be Type B because A had no leaves at all so it would have to be B regardless.  Now that I'm thinking about it, I think I mistakenly put my rating slightly closer to A when I should have put it closer to B according to this logic lol",2,1,26,"2: female",NA,"correct","correct"
"BWSRXE5Vbv1e",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","Flowers are both the same, but an even chance that it does or doesn't have leaves.",2,1,35,"1: male",NA,"correct","correct"
"Fbv0yff3luWR",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","because both plants have white blossom it has 50% chance of having green leaves or not",2,1,33,"2: female",NA,"correct","correct"
"fi8HZK10FzBJ",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","Both type A and type B have pearly white flowers. The flower you found has pearly white flowers, but you don't know if it has leaves or not. Only type B has leaves. Therefore, it could be either type A or type B.",2,1,50,"2: female",NA,"correct","correct"
"HjaoNBT2JGkz",2,"1: I confirm","1: I will take it seriously","narrow_right",8,"daisy","visible","It definitely has the pearly white blossom. If you don't know whether it has green leaves, that makes me assume you can't see them and therefore they may not be there.",2,1,24,"2: female","N/A","correct","correct"
"iFDOrSH07NL6",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","There is only one difference between the two... and I don't know if it has that difference so it's 50:50",2,1,21,"2: female",NA,"correct","correct"
"IKF7bmrIfcZX",2,"1: I confirm","1: I will take it seriously","narrow_right",8,"daisy","visible","I think it is more likely to be type A because type B has thick green leaves, so if it was B I think it would be more obvious",2,1,32,"1: male","n/a","correct","correct"
"jdVvF44tYUCz",2,"1: I confirm","1: I will take it seriously","narrow_right",8,"daisy","visible","there was an indecision about whether it had leaves or not",2,1,46,"1: male",NA,"correct","correct"
"kDFvLWRyfmHJ",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","The two types occur in equal numbers. We don't know whether it has thick green leaves or not, so it could be type A or type B - and equally type A or type B. Hence, with no reason to prefer A over B or vice versa, the only basis upon which to guess which is their distribution, which is 50/50.",2,1,43,"1: male",NA,"correct","correct"
"o6bVv5HCfa0D",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","they are both growing equally in the dessert so it has to be 50/50",2,1,72,"2: female","none I was aware of","correct","correct"
"rKwoX7q0AOvK",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","It was mentioned that the likelihood of encountering any of the plants was equally likey. So my answer was based off of that",2,1,26,"1: male","none","correct","correct"
"Rmez2TmNbqbt",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","Something you don't know cannot form part of your judgement, so my best estimate has to be made just on the flowers, which mean that it could be either flower",2,1,66,"2: female","I don't 'identify' as female, I am a woman","correct","correct"
"s2U0xmMMUfmZ",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","Because we weren't given any other info about the Desert Daisy, it could be either type A or type B.",2,1,25,"2: female","nothing","correct","correct"
"s4jxXvK1OuHn",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","There are too many variables to guess at the type of desert daisy. What if one type occurs more frequently than the other? This is not specified in the text. Therefore, I selected 50/50 likelihood as a hypothetical guess.",2,1,27,"2: female","No errors.","correct","correct"
"tGyftCFd8XcQ",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","if i'm not sure if it had thick dark leaves then i am undecided
",2,1,55,"2: female",NA,"correct","correct"
"v6bUcaHZEyba",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","The study says both are as likely to occur as each other. The region is correct, and both have pearly white blossoms. If it cannot be verified if there's petals there it's a 50/50 chance. ",2,1,25,"1: male",NA,"correct","correct"
"ysTElg6jdmFd",2,"1: I confirm","1: I will take it seriously","narrow_right",5,"daisy","visible","Well it could be either counldnt it, if you are unsure then its 50/50",2,1,39,"2: female","none","correct","correct"
"zwqyDKwinDWo",2,"1: I confirm","1: I will take it seriously","narrow_right",7,"daisy","visible","They said they were unsure if there was green leaves so it wasn't 100% that it was A ",2,1,28,"1: male","No errors","correct","correct"
"0vIw1hQsxhrR",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","they both grow as frequently so you'd assume there are as many type A as there are type B. Therefore the chance of the one you pick either being a or b is 50%",2,3,19,"1: male","none","correct","correct"
"3mkhkpOkzHmb",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","i made the choice basd on the facts, that both look the same and maybe even act the same but one is poisnonss, so there is a 50/50 chance it could be either or ",2,3,55,"2: female","i saw no errors in this survey ","correct","correct"
"6a6FaN7Du2qx",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","We are told only that they both occur in equal numbers and look alike.  Equal numbers = 50/50.",2,3,47,"1: male",NA,"correct","correct"
"CGNpQvn4Kf7C",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","Given they both occur equally I think it is only possible to rate it as a 50/50 chance as there are no outside factors that I can use to tip the probability one way or the other. ",2,3,52,"1: male","I'm not aware of any errors thank you for interesting study.","correct","correct"
"EaFprKK7F6yB",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","It said that they were both equally likely and the both had the pearly white blossom. Based of that I must say there is an equal chance of it being either type",2,3,28,"1: male","None","correct","correct"
"eixpFQFu77MC",3,"1: I confirm","1: I will take it seriously","narrow_left",1,"daisy","invisible","it is a even probability and the chances of it being the venomous one is as high as it not being",2,3,24,"2: female",NA,"correct","correct"
"FdtEGC9wkRn6",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","The test said that both type of desert daisy occur equally often, so when finding a desert daisy with pearly white blossoms it seems like there is an equal chance of it being type A or type B.",2,3,39,"1: male","Thanks","correct","correct"
"fuAn7SDACzzT",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","As both species are the same look and colour there’s no way of telling them apart. It would be too much of a risk to take a chance as it would be 50:50.",2,3,52,"1: male","No problems occurrd","correct","correct"
"KYsPJ5A5ACLt",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","the text said both types are equally as likely so i went 50/50 as there is a 50% chance of either ",2,3,24,"1: male",NA,"correct","correct"
"LykFLrL2ekMY",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","i put 50/50 because you already told me distribution is equal for both. There was no indication i could tell the difference between the 2 types of daisys",2,3,48,"1: male","none","correct","correct"
"lYzQMMS5CQMt",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","As they are visually identical, there is an equal possibility of it being A or B",2,3,68,"1: male","None that I noticed","correct","correct"
"OhHMP7xlQSH5",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","It said that they occur equally as often so logic to me dictated an even split",2,3,33,"1: male",NA,"correct","correct"
"ONTV1wIecAJV",3,"1: I confirm","1: I will take it seriously","narrow_left",5,"daisy","invisible","Both types of Desert Daisy appear equally so the Desert Daisy picked has a 50% chance of being Type A or Type B.",2,3,37,"1: male",NA,"correct","correct"
