"subj_code","condition","desktop_conf","attent_conf","scale_orient","dv_query","outcome_valence","instr_tests","DV_rating","explanation","age","gender","tech_issues"
"6voy8AzgGGJs",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,3,"Mut-bic2 always causes abnormal gludon levels but we don't know if patient 53 has abnormal lean blood levels
",23,"1: male","NTR"
"Adx65ggT4vE2",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Because patient #53 is known to have abnormal Gludon levels, but we don't know their Lian levels yet, it's impossible to determine which mutation is more likely. Both mutations appear equally as often in the population, and both mutations cause abnormal Gludon levels.",39,"3: non-binary","No errors that I could find except I did have a problem completing the study and had to go through it again. I really enjoyed this study and found it easy to navigate and complete. Thanks for letting me participate!"
"B2HiEOQn6vMK",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both Mut-Bic2 and Mut-Taw4 are equally likely to cause abnormal blood levels, yet Taw4 is likely to have abnormal Lian blood levels too. ",51,"2: female","No errors."
"C5XyuSbfDqwd",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"I believe that there is an equal likelehood of getting both mutations",65,"2: female","none"
"DT0IN200RUcH",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"As the two mutations have an equal chance of occurring in 1 person and both cause abnormal gludon blood levels, then it is equally possible that they also have abnormal Lian blood levels. ",37,"1: male",NA
"E9MDAZxx8xdD",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,4,"I guessed that the likelihood was approximately equal.",44,"1: male",NA
"ke1izQDIaMTw",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Given that Gludon is a factor of both conditions, and that given it is equally likely to have either of the conditions. It cannot be said at this time if it is bic2 or taw4.",27,"1: male","No errors, thanks for the time!"
"MCVF0cQXg1hO",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Because both mutations can cause this problem",21,"2: female",NA
"pGsMtLg1kO0K",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both mutations increase Gludon levels. As the mutations occur evenly spread across the population, there is an equal chance that the patient has either mutation.",47,"1: male",NA
"SyG3ESX9lTOg",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"From the prior information it says people have the same chance of having both BIC2 and TAW4, until Lian levels are tested the chance is 50/50",24,"2: female","no"
"T6PRIN18Kfkt",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both mutations affect Gludon blood levels so it could be either.",75,"2: female",NA
"U3S6hfklYkAV",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"I am unsure about this and am slightly confused. We know they have one mutation but the other is just as likely which is why I rated it as I did",45,"2: female",NA
"u9mk5DL7N9Fy",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",2,5,"i thought it was equally likely",53,"1: male","no"
"VgJhnAkUY5F8",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"Both mutations are equally likely and both mutations produce the result detailed previously.",39,"1: male","None"
"XHNlEs28av4t",1,"1: I confirm","1: I will take it seriously","narrow_left","probability","negative",1,5,"The mutations are equally likely to occur in a person according to the information provided in the scenario given before.",25,"2: female","none"
"1ikF9c0v5lij",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"It could be either of the mutations since we know that abnormal Gludon levels are a symptom of both. ",33,"2: female","None "
"1qLJeysVyPGS",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"As both are equally prevalent I chose the mid point.",49,"2: female","None"
"8jFW7nz9Kx26",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"both are possible giving the information i was givem before ",42,"2: female","none"
"Bs8hOtWoz2v5",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"Both are equally likely, and both have result in abnormal Gludon levels, so the gludon presence alone is not enough to tell which mutation it is.",44,"2: female","None"
"DbTGD2az2B8t",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"The rating I made was because you can not predict and only rely on probability from previous results.",64,"1: male","No"
"Dj8m6ppRKput",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",4,5,"it said that they are both equally likely to occur in a person.",24,"2: female","none"
"gv5UMD3QnRsG",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,6,"The mutations are equally likly to occur in a person but a high level of suspicion is required for early intervention",22,"4: prefer not to say","none"
"hEGRhNiix9AG",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"both mutations cause abnormal gludon levels.

both mutations are also equally likely to occur in a person

hence it could be either mutation causing the abnormal gludon levels.

If the lian blood levels were abnormal too you would expect MUt-Taw4 to be the answer",32,"1: male","no issues found during this study"
"hZAlcah3wHXj",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"The number of people having one mutation is the same as the other, so if a person is found to have abnormal Gludon levels there is a 50% chance of them also having abnormal Lian levels too.",38,"2: female","None"
"kBDsIDG3hmWI",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"If abnormal Gludon levels are found it is the same probability that it is either gene mutation as both gene mutation are equally likely to occur in an individual",50,"1: male",NA
"kLQaMTNRJx4e",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"They both have equal prevalence and both have that as a symptom of them",31,"2: female","Gludon is spelt at guldon on one part"
"kMD6l29gW6yU",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"Either gene can cause the abnormal blood reading observed",42,"1: male",NA
"RdXfWHDwx5iN",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"Research shows that it is equally likely that that a person could have either of the different alterations.  ",32,"1: male",NA
"sIxjE25CT7Tq",2,"1: I confirm","1: I will take it seriously","narrow_right","probability","negative",1,5,"They are both equally as likely to occur and both have the common symptom of abnormal gludon levels so i think it is either a coin flip or slightly to Taw4",24,"1: male","None"
