"subj_code","condition","desktop_conf","attent_conf","scale_orient","dv_query","instr_tests","DV_rating","explanation","age","gender","tech_issues","rating_rec"
"zY4S3aiAmPXu",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It was only confirmed that the patient had one, so that leaves it 50/50 if he has both.",51,"2: female","no",0
"CZaLPw6qlYKX",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",3,5,"based on the instructions I read in the beginning I chose my rating",33,"2: female","no errors",0
"bexnlyrs4rSN",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,0,"the patient has already been found to have abnormal Gludon blood levels, which is always caused by Mut-Bic2 according to the scenario. Mut-Taw4, on the other hand, causes both abnormal Gludon and abnormal Lian blood levels. Since it is unknown whether the patient has abnormal Lian blood levels, Mut-Bic2 is the more likely explanation at this point",27,"2: female","n/a",-5
"tfy0k0bH0vmv",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"I made a gut reaction.",43,"2: female",NA,0
"ikutBLp9nszu",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"If they both occur with the same frequency and both always affect gludon levels then it's 50/50 as to whether it is bic2 or taw4 if the other levels haven't been checked yet",50,"2: female","none",0
"P619uvl7VGCv",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,3,"Bic2 has definitely Gludon whereas Taw4 has both Gldon and Lian, since Lian is not present yet, it is possible that patient has Bic2",50,"1: male","I did not encounter any error whatsoever",-2
"5AN3rjGxFJy7",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As the Gludon levels were affected, either mutation could be responsible, because the likelihood of both are the same. There is no way of predicting which mutation caused abnormal Gludon levels without testing the Lian levels.",50,"2: female","N/A",0
"DqHfnWJ2aEw1",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Since they aren't 100% sure if they have the code ending in 4, it is possible they have both or 50% of each mutation.",22,"2: female","None",0
"QSSVvhDF6z3F",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"According to the profile, if levels are elevated in one area it is possible for them to become elevated in the other area.",45,"1: male",NA,0
"i9L6JCWWKfxU",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Guess",38,"1: male",NA,0
"aq1NU3SLRPbL",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It said they were both equally likely to occur in the population and both cause the gludon level decrease so both are equally likely. ",50,"1: male","No problem",0
"pDXGIwZw6j9m",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Just because it hasn't yet been identified doesn't meant hey don't also have the other mutation given that they are equally likely.",51,"2: female","none",0
"rZ4HarqWCRAq",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both are equally likely and we have no further information yet.",45,"1: male","N/A",0
"skQS3uId4uJP",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"If both conditions are equally as likely and Mut Taw4 causes both Gludon blood level issues and abnormal Lian blood issues, then if someone has abnormal Gludon blood issues it would be just as likely they could have either condition. ",39,"2: female",NA,0
"lElXIGBBMNAW",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"since they both effect gludons and each mutation is equally likely the chance is therefor equal",21,"1: male",NA,0
"uxCuClxkshDW",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both mutations are just as prevalent in the general population and both increase blood gludon levels. Therefore, without knowing the patients other blood levels, the chances of having each gene are just as likely.",24,"1: male",NA,0
"PNpF7WZHGQLM",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"As both gene's cause change in glubon levels one cannot say which it is more likely to be",36,"2: female",NA,0
"nRO7N9EZRZqA",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"the number of people is equaly likly",63,"1: male",NA,0
"ZdXIPFm4lzQ8",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"i wasnt too sure, so i guessed",28,"1: male",NA,0
"PptW8HPIYvoF",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,3,"We know about the Gludon levels, we do not know about the Lian levels in  oatient 53. This would indicate that at this stage it is more likely to be the bic2 mutation, but until we kow the Lian levls, we cannot discount a Taw4 mutation that would affect the levels of both substances in the blood. Both mutations have a similar level of prevalence.",57,"1: male","None seen.",-2
"YLWbRMwjj0HF",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"Both cause abnormal gludon blood levels but as the test for lian blood levels have not been done yet it is not possible to say for sure which is the correct one ",64,"1: male",NA,0
"vEKWzokVPixl",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"It was mentioned that if someone had one type they were equally likely to have the other",47,"2: female","none",0
"7iOw5CfIT5xQ",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",2,5,"Both are equally likely",25,"2: female","None",0
"pO2ivmSGWR6R",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"My rating was based on the probability of both occurring in the same patient.",35,"1: male","I did not encounter any error.",0
"oEg2ZphZFPIf",1,"1: I confirm","1: I will take it seriously","narrow_left","probability",1,5,"most people who have the one mutation will also have the other",38,"2: female",NA,0
