subj_code;condition;scale_orient;dv_query;instr_tests;age;gender;tech_issues;rating_rec;explanation;Correct explanation ;Unclear explanation ;explanation focusing on perspective of patient;Inferred absence because of low feature base rate;Inferred absence of latent feature due to visibility;Inferred absence of latent feature for any reason
zY4S3aiAmPXu;1;narrow_left;probability;1;51;2: female;no;0;It was only confirmed that the patient had one, so that leaves it 50/50 if he has both.;1;;;;;
CZaLPw6qlYKX;1;narrow_left;probability;3;33;2: female;no errors;0;based on the instructions I read in the beginning I chose my rating;;1;;;;
bexnlyrs4rSN;1;narrow_left;probability;1;27;2: female;n/a;-5;the patient has already been found to have abnormal Gludon blood levels, which is always caused by Mut-Bic2 according to the scenario. Mut-Taw4, on the other hand, causes both abnormal Gludon and abnormal Lian blood levels. Since it is unknown whether the patient has abnormal Lian blood levels, Mut-Bic2 is the more likely explanation at this point;;1;;;;
tfy0k0bH0vmv;1;narrow_left;probability;1;43;2: female;NA;0;I made a gut reaction.;;1;;;;
ikutBLp9nszu;1;narrow_left;probability;1;50;2: female;none;0;If they both occur with the same frequency and both always affect gludon levels then it's 50/50 as to whether it is bic2 or taw4 if the other levels haven't been checked yet;1;;;;;
P619uvl7VGCv;1;narrow_left;probability;2;50;1: male;I did not encounter any error whatsoever;-2;Bic2 has definitely Gludon whereas Taw4 has both Gldon and Lian, since Lian is not present yet, it is possible that patient has Bic2;;1;;;;
5AN3rjGxFJy7;1;narrow_left;probability;1;50;2: female;N/A;0;As the Gludon levels were affected, either mutation could be responsible, because the likelihood of both are the same. There is no way of predicting which mutation caused abnormal Gludon levels without testing the Lian levels.;1;;;;;
DqHfnWJ2aEw1;1;narrow_left;probability;1;22;2: female;None;0;Since they aren't 100% sure if they have the code ending in 4, it is possible they have both or 50% of each mutation.;1;;;;;
QSSVvhDF6z3F;1;narrow_left;probability;1;45;1: male;NA;0;According to the profile, if levels are elevated in one area it is possible for them to become elevated in the other area.;;1;;;;
i9L6JCWWKfxU;1;narrow_left;probability;1;38;1: male;NA;0;Guess;;1;;;;
aq1NU3SLRPbL;1;narrow_left;probability;1;50;1: male;No problem;0;It said they were both equally likely to occur in the population and both cause the gludon level decrease so both are equally likely. ;1;;;;;
pDXGIwZw6j9m;1;narrow_left;probability;1;51;2: female;none;0;Just because it hasn't yet been identified doesn't meant hey don't also have the other mutation given that they are equally likely.;1;;;;;
rZ4HarqWCRAq;1;narrow_left;probability;1;45;1: male;N/A;0;Both are equally likely and we have no further information yet.;1;;;;;
skQS3uId4uJP;1;narrow_left;probability;1;39;2: female;NA;0;If both conditions are equally as likely and Mut Taw4 causes both Gludon blood level issues and abnormal Lian blood issues, then if someone has abnormal Gludon blood issues it would be just as likely they could have either condition. ;1;;;;;
lElXIGBBMNAW;1;narrow_left;probability;1;21;1: male;NA;0;since they both effect gludons and each mutation is equally likely the chance is therefor equal;1;;;;;
uxCuClxkshDW;1;narrow_left;probability;1;24;1: male;NA;0;Both mutations are just as prevalent in the general population and both increase blood gludon levels. Therefore, without knowing the patients other blood levels, the chances of having each gene are just as likely.;1;;;;;
PNpF7WZHGQLM;1;narrow_left;probability;1;36;2: female;NA;0;As both gene's cause change in glubon levels one cannot say which it is more likely to be;1;;;;;
nRO7N9EZRZqA;1;narrow_left;probability;1;63;1: male;NA;0;the number of people is equaly likly;;1;;;;
ZdXIPFm4lzQ8;1;narrow_left;probability;1;28;1: male;NA;0;i wasnt too sure, so i guessed;;1;;;;
PptW8HPIYvoF;1;narrow_left;probability;1;57;1: male;None seen.;-2;We know about the Gludon levels, we do not know about the Lian levels in  oatient 53. This would indicate that at this stage it is more likely to be the bic2 mutation, but until we kow the Lian levls, we cannot discount a Taw4 mutation that would affect the levels of both substances in the blood. Both mutations have a similar level of prevalence.;;1;;;;
YLWbRMwjj0HF;1;narrow_left;probability;1;64;1: male;NA;0;Both cause abnormal gludon blood levels but as the test for lian blood levels have not been done yet it is not possible to say for sure which is the correct one ;1;;;;;
vEKWzokVPixl;1;narrow_left;probability;1;47;2: female;none;0;It was mentioned that if someone had one type they were equally likely to have the other;;1;;;;
7iOw5CfIT5xQ;1;narrow_left;probability;2;25;2: female;None;0;Both are equally likely;1;;;;;
pO2ivmSGWR6R;1;narrow_left;probability;1;35;1: male;I did not encounter any error.;0;My rating was based on the probability of both occurring in the same patient.;1;;;;;
