"subj_code","condition","desktop_conf","attent_conf","prevalence","latent_feature","LS_bias_probe_stim","scale_orient","instr_tests","LS_bias_probe_rating","explanation","bluefeet_choice","bluebeak_choice","typical_choice","bluefeet_bluebeak_choice","age","gender","tech_issues","rating_rec"
"0Mz7J0mISQ5N",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"Couldn't see the duck's feet, only the beak. So I thought it was equally likely to be one of the mutations causing the blue beak.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",43,"1: male","None",0
"2D4c8xmPyYaR",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"i couldnt see the ducks feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",45,"1: male",NA,0
"3GKm1IQyCGH2",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"I don't see the feet in order to know which mutation is present, I know the possibility that the duck has the blue feet mutagen is 5%. Combined with the probability that the duck could have both the beak and feet mutagen and the beak mutagen simultaniously, I'm led to believe that the possibility of having blue feet is close to having yellow feet, if not more.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",33,"1: male",NA,0
"3HJXA9PKKaj6",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"each mutation as an equally probable chance of happening ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",26,"2: female",NA,0
"3tLFgNwiOwP7",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"I was unable to see the ducks feet to see if they were blue, therefor it was an equal chance of being either PIX67 or TOX20 mutation ","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",52,"1: male","No issues noted",0
"3XsQ6WawwqxX",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,2,"The probability of the duck having blue feet is only 5%. It's more likely that the duck only has a blue beak instead of both a blue beak and blue feet.","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",72,"2: female","There were a few grammatical/syntax errors (""bilogists"", apostrophes where they weren't needed), but nothing that detracted from the study.",-3
"4r6GPizejlrm",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",2,5,"it could have been either beak or feet","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",46,"1: male",NA,0
"5MyTygbJdmf3",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"All variants are equally found in the pond but we also can only see the blue beak.","This duck has a NAX20 mutation (blue feet).","This duck has a NAX20 mutation (blue feet).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",27,"1: male","N/A",0
"78Gdo2zKHRim",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"I couldn't see its feet. If both mutations have the same probability then it could be either which cause blue beaks","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",35,"2: female",NA,0
"8ZUIBfSZ9mkm",1,"1: I confirm","1: I will take it seriously","presented","feet","probe_amb_beak.png","narrow_left",1,5,"because all mutations have an equal chance of occuring I think the chances of the duck having PIX67 and NAX20 are just as likely","This duck has a NAX20 mutation (blue feet).","This duck has a TOX20 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a PIX67 mutation (blue beak and blue feet).",48,"1: male","N/A",0
