subj_code;prevalence;latent_feature;LS_bias_probe_stim;scale_orient;instr_tests;LS_bias_probe_rating;age;gender;tech_issues;rating_rec;explanation;Correct explanation ;Unclear explanation ;Inferred absence because of low feature base rate;Inferred absence of latent feature
Ph7RUsf0Lj5W;presented;feet;probe_amb_beak.png;narrow_left;1;0;22;2: female;NA;-5;I gave the rating of blue beak only because it was said that only 5% of the ducks have blue feet so I think it is pretty unlikely that the duck would have blue feet as well. ;;;1;
W3rpU94OOFB2;presented;feet;probe_amb_beak.png;narrow_left;1;0;50;2: female;none;-5;could only see a blue beak;;1;;
7QvpCefMreiS;presented;beak;probe_amb_feet.png;narrow_left;1;0;52;2: female;I found no errors in the study. Thank you.;-5;We cannot see the ducks beak so cannot determine if the duck has both mutations. Therefore based on the picture of the ducks blue feet I believe it has only the NAX20 mutation.;;1;;
ekHrCvK6dsdv;presented;beak;probe_amb_feet.png;narrow_left;1;0;50;1: male;No issues though the questions were hard to read.;-5;I could see the blue feet clearly.  I had to look much closer at the beak and based on what I could see, I chose TOX20.;;1;;
hsGxO9ui8X1T;presented;beak;probe_amb_feet.png;narrow_left;1;0;69;2: female;did not notice any errors;-5;having  read the information provided to me I gave this rating as NAX 20 which mutates blue feet only as in the picture;;1;;
vIFXqWoNkWgq;presented;beak;probe_amb_feet.png;narrow_left;3;0;25;1: male;NA;-5;This is because the duck in the picture to have a blue feet ;;1;;
iVrRimUJLxDH;presented;feet;probe_amb_beak.png;narrow_right;1;10;58;2: female;NA;-5;Because the cause of a blue beak is mutation of gene TOX20, but I then realised you can't actally see its feet, so if it had blue feet too, it would be mutation of gene PIX67;;1;;
0rZ03uOVKH86;presented;beak;probe_amb_feet.png;narrow_right;1;10;34;1: male;N/A;-5;The duck clearly had blue feet. it was difficult to confirm but it looked like the duck had a black beak, not a blue beak, so I concluded it didn't have the PIX mutation;;1;;
G7CQ3Rlaxy5s;presented;beak;probe_amb_feet.png;narrow_right;2;10;31;2: female;None;-5;Nax 20 is where only the duck's feet is affected. The picture shown only shows the ducks feet & not the entire body.;;1;;
kwTxTSxcD6tT;presented;beak;probe_amb_feet.png;narrow_right;1;10;46;2: female;NA;-5;could only see the blue feet;;1;;
RLRbd4y1G7jT;presented;beak;probe_amb_feet.png;narrow_right;1;10;46;2: female;No;-5;I made a mistake I should have said equally both as the beak wasn't visible. It could be either PIX67 or NAX20. But not TOX20 as that causes only the beak to be blue.;;1;;
dHAMNjxZz5H6;presented;feet;probe_amb_beak.png;narrow_left;2;1;29;1: male;NA;-4;It said that there is only a 5% chance that it will have blue feet.;;;1;
dNu9XlqpEOuG;presented;feet;probe_amb_beak.png;narrow_left;1;1;30;1: male;NA;-4;Since birds with blue feet are only 5% of the population I took that into account when deciding the rating probability I did.;;;1;
LPGFM4MQVGM9;presented;feet;probe_amb_beak.png;narrow_left;2;1;62;2: female;NA;-4;Only 5% of the population have blue feet so it is highly likely that this duck has only got a blue beak and the mutation TOX20.;;;1;
sulnpYWmOnaq;presented;beak;probe_amb_feet.png;narrow_left;2;1;35;1: male;NA;-4;Doesnt come with a blue beak, therefore low probability;;1;;
wR6yCwQB1XC3;presented;beak;probe_amb_feet.png;narrow_left;1;1;40;1: male;there were no errors;-4;There is only a 5% chance of the duck having a blue beak so its more than likely this duck does not have a blue beak.;;;1;
jgzi74RIp1FB;presented;feet;probe_amb_beak.png;narrow_right;1;9;47;1: male;NA;-4;There's only a 5% chance of the duck having blue feet.;;;1;
3XsQ6WawwqxX;presented;feet;probe_amb_beak.png;narrow_left;1;2;72;2: female;"There were a few grammatical/syntax errors (""bilogists"", apostrophes where they weren't needed), but nothing that detracted from the study.";-3;The probability of the duck having blue feet is only 5%. It's more likely that the duck only has a blue beak instead of both a blue beak and blue feet.;;;1;
L2dNtVXWlvtu;presented;feet;probe_amb_beak.png;narrow_left;1;2;21;1: male;NA;-3;There is a 33.33% chance that it could be one of the three however since it has a blue beak that removes one of the mutations which leaves it at a 50% chance for either both a blue beak and blue feet or just a blue beak. ;1;;;
K0O1QRgW4E9j;presented;beak;probe_amb_feet.png;narrow_left;1;2;36;1: male;No problems at all;-3;Because we can see it has blue feet then that's 33.3% and the chances of it having a blue beek are still 33.3% so it sways more to blue feet only.;;1;;
0hP0oUdeS0a5;presented;feet;probe_amb_beak.png;narrow_right;2;8;27;1: male;NA;-3;I gave the rating because that seems like the most probable answer;;1;;
iiI0IOwwhCdZ;presented;feet;probe_amb_beak.png;narrow_right;1;8;35;1: male;n/a;-3;Only 5% of ducks had blue feet. Because each mutation has the same probability of affecting a duck, the chances that the duck had pix over that of nax made it feel less likely. ;;;1;
9jXkhuXpVwCA;presented;beak;probe_amb_feet.png;narrow_right;2;8;27;1: male;NA;-3;That is the most probable answer that i think;;1;;
Xm9FpSV03E34;presented;beak;probe_amb_feet.png;narrow_right;1;8;35;2: female;NA;-3;I only got to see the blue feet because the head was underwater so I'm going to put the probability more towards NAX20 since that is the mutation that gives blue feet, and I cannot see the head.;;1;;
LWSiXR0h8c3E;presented;feet;probe_amb_beak.png;narrow_left;1;3;37;2: female;NA;-2;"Obviously the feet cannot be seen, but the beak can so it is at the very least got the TOX20 mutation.
The prevalance of blue feet in the duck population was only 5%. I'd rather rate it on what I could actually see, rather than trying to guess what can't be seen. ";;;1;
Nj2ARtwBicI6;presented;feet;probe_amb_beak.png;narrow_left;3;3;53;2: female;none;-2;definitely blue beak but the probability of having blue feet is 66% chance but ere of side of cautio;;1;;
x6eAACp284db;presented;feet;probe_amb_beak.png;narrow_left;1;3;40;1: male;NA;-2;You can see that the duck has a blue beak. You cannot see the feet as they are under water therefore you cannot say with certainty that the duck has blue feet.;;1;;
rutAWDSX808Y;presented;beak;probe_amb_feet.png;narrow_right;2;7;23;1: male;None;-2;I could only see blue feet, so I assume its more liekly to have blue feet, no informstion about the beak;;1;;
nHUlkHhP9nBE;presented;feet;probe_amb_beak.png;narrow_left;1;4;42;2: female;NA;-1;Because they’re both equally likely but only 5% have blue feet;;;1;
q0GsDESAixvu;presented;beak;probe_amb_feet.png;narrow_left;1;4;51;1: male;None;-1;I could not see the beak, so whilst I knew that the feet were blue I needed to guess.  I believed that it was more likely that the duck only had blue feet and not a blue beak and feet.;;1;;
LKavuxr9tjLg;presented;feet;probe_amb_beak.png;narrow_right;1;6;48;1: male;biologists was spelt incorrectly;-1;whilst both mutations are equally likely, it is aso known that only 5% of the population have blue feet so this may make it slightly more likely to be tox20;;;1;
U2KDqBGYSeIC;presented;feet;probe_amb_beak.png;narrow_right;1;6;25;1: male;none.;-1;There was an equal chance that the duck had either mutation, seeing as how the duck has a blue bill. That said, due to the fact that only the bill was visible, and not the feet, I decided that the mutation for only the bill had more chance of being it than the mutation of the duck haveing both mutations. ;;1;;
BZdrRuol4hCE;presented;beak;probe_amb_feet.png;narrow_right;1;6;18;2: female;NA;-1;definitely got the mutation that gives blue feet but it cant be determined which of the two mutations have occured as both equally likely;;1;;
jlyRrgKkr2wU;presented;beak;probe_amb_feet.png;narrow_right;1;6;63;2: female;none;-1;clearly saw the blue feet, but the beak was not really visible.  what i did see made me think that it could have been blue, but may not have been.;;1;;
0Mz7J0mISQ5N;presented;feet;probe_amb_beak.png;narrow_left;1;5;43;1: male;None;0;Couldn't see the duck's feet, only the beak. So I thought it was equally likely to be one of the mutations causing the blue beak.;1;;;
2D4c8xmPyYaR;presented;feet;probe_amb_beak.png;narrow_left;2;5;45;1: male;NA;0;i couldnt see the ducks feet;;1;;
3GKm1IQyCGH2;presented;feet;probe_amb_beak.png;narrow_left;1;5;33;1: male;NA;0;I don't see the feet in order to know which mutation is present, I know the possibility that the duck has the blue feet mutagen is 5%. Combined with the probability that the duck could have both the beak and feet mutagen and the beak mutagen simultaniously, I'm led to believe that the possibility of having blue feet is close to having yellow feet, if not more.;;1;;
3HJXA9PKKaj6;presented;feet;probe_amb_beak.png;narrow_left;1;5;26;2: female;NA;0;each mutation as an equally probable chance of happening ;1;;;
3tLFgNwiOwP7;presented;feet;probe_amb_beak.png;narrow_left;1;5;52;1: male;No issues noted;0;I was unable to see the ducks feet to see if they were blue, therefor it was an equal chance of being either PIX67 or TOX20 mutation ;1;;;
