"subj_code","condition","desktop_conf","attent_conf","latent_feature","LS_bias_probe_stim","scale_orient","instr_tests","LS_bias_probe_rating","explanation","bluefeet_choice","bluebeak_choice","typical_choice","bluefeet_bluebeak_choice","age","gender","tech_issues","rating_rec"
"0Siiitccn9SH",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",2,5,"Both have equal % but no feet visible, so 50/50","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",36,"1: male",NA,0
"1X3XwYsEeJsg",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"They all have an equal chance of happening. To have one or the other or both. We know it has a blue bill, but it is also equally likely to have blue feet.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",37,"1: male",NA,0
"1zqmoktcWDxO",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"because their is a 5% chance of getting a mutation of a blue beak and blue feet and a 5% chance of getting a mutation of just a blue beak. So their both an equal chance.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",27,"1: male",NA,0
"2Ch2qfGmNNq2",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",2,3,"it could have only a blue beak since the mutations are independent from each other","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",19,"1: male","it was good",-2
"4aev4BTxP1Yz",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"I could not see the feet of the duck in the pond. As I could only see it's beak, that means it's equally likely that it has either a blue beak or a blue beak and blue feet. ","This duck has a BkFt2 mutation (blue beak and blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",32,"1: male","No errors",0
"4jXBIHBkiCkZ",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Since the image of the Duck only shows it beak and not its feet then it is equally likely the duck only has a blue beak or has both blue feet and beak as the probability of either is equal","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet) and Ft1 mutation (blue feet).",23,"1: male","N/A",0
"4pSlGCzTDUvY",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",2,0,"The fact that it has blue beak shoes a higher chance of having only blue beak","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",30,"1: male","No errors",-5
"4SAUQhnGj7fv",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Can't see the duck's feet but he's definitely got the bk1 mutation - giving the blue beak. The duck is also just as likely (5%) to have one of the other two mutations that would give it blue feet, hence the rating.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet) and Ft1 mutation (blue feet).",41,"1: male","no issues",0
"5HUzB3BgbWNB",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"I said both equally likely. The duck had a blue beak but you couldnt see the feet, so it might be the mutation for bue beak only or might be the one for both blue feet and beak. Therefore both equally likely.","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",40,"1: male",NA,0
"5ZIUvofaV7FU",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"Each mutation has a 5% chance of happening so not 1 is more likely than the other. Therefore I cant tell","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",40,"1: male",NA,0
"61oXGURyccK7",1,"1: I confirm","1: I will take it seriously","beak","probe_amb_beak.png","narrow_left",1,5,"You can see the beak but not feet and both mutations are equally likely. Having one does not effect chance of having other. ","This duck has a Ft1 mutation (blue feet).","This duck has a Bk1 mutation (blue beak).","This duck has no mutation affecting beak and feet color.","This duck has a BkFt2 mutation (blue beak and blue feet).",30,"2: female",NA,0
