"run_id","subj_code","disease1","effects1","scale_orientation","dv_rating","source","explan","age","gender"
2,"aF3mjnfOf28z","Vilosa","Lian","narrow_left",5,"none","not enough evidence",66,"1: male"
4,"mj851uOARqVt","Vilosa","Gludon","narrow_left",3,"no_info","Because of a gut feeling and that Vilosa directly cause Gludon blood levels",22,"1: male"
7,"oAN63vkBcIHC","Pylium","Lian","narrow_left",5,"expl_info","Without knowing the other level it would not be wise to make a definite diagnosis",37,"1: male"
8,"Enca0El0p0hN","Vilosa","Gludon","narrow_left",5,"none","Under the circumstances it seems that there is an equal chance of it being either.",61,"2: female"
9,"8CmQc3GOB300","Vilosa","Lian","narrow_left",7,"no_info","""",32,"2: female"
10,"O0QN5ndhxjku","Pylium","Gludon","narrow_left",5,"no_info","In general, both diseases were noted to be equally as likely to occur and for some reason the doctor decided to test for the result that is the same between the two diseases therefore it is equally likely that the patient has either disease.",31,"2: female"
12,"ekUmPvkXKRhc","Pylium","Lian","narrow_left",5,"no_info","If both diseases produce unusual levels of Lian, then it is equally likely to be either. You need to test for the other variable to know which disease it will be.",20,"2: female"
13,"7yNvkvFseYa5","Vilosa","Gludon","narrow_left",5,"expl_info","Both diseases can equally occur as previously mentioned",34,"2: female"
15,"VpWymcTOdyP3","Vilosa","Lian","narrow_right",2,"expl_info","i chose it because of the odds given. 250 out of a thousand",38,"2: female"
16,"njcLZNfpOPwC","Vilosa","Lian","narrow_left",5,"expl_info","It's clear that the chances are 50-50 because we know about one indicator in the blood. The second one is x",38,"2: female"
19,"KFEq4CbghQum","Pylium","Lian","narrow_right",7,"none","We were told that in a study of 1000 people, 250 had abnormal gluton levels. That suggest that 25% of the study had Vilosa. So in the study I tried to use the slider to select that there was a 75% chance it would be Pylium",47,"2: female"
21,"AFC3xpTHPnOL","Pylium","Lian","narrow_left",4,"none","We know for sure that they have the abnormal level caused by both, we don't know if the other substances level is abnormal",20,"1: male"
